Id,Predicted
0,3272.1353
1,2773.8384
2,3493.3674
3,1984.3729
4,2702.5671
5,2146.1396
6,2189.0034
7,3546.541
8,2803.516
9,4073.9575
10,2097.6025
11,2716.81
12,2776.371
13,2575.0662
14,2182.9434
15,2688.3271
16,2059.3557
17,2710.9646
18,2309.3098
19,2882.1826
20,1838.3939
21,2834.913
22,2327.554
23,2902.691
24,3022.7175
25,1951.1971
26,2448.5027
27,2467.9802
28,2315.3381
29,3262.6453
30,3024.3691
31,2447.2444
32,2297.6235
33,2507.8716
34,1958.6426
35,1961.8666
36,1529.5703
37,2572.8057
38,2965.3906
39,3031.2957
40,1949.5283
41,2973.728
42,2948.9294
43,2807.437
44,1844.8698
45,3246.6758
46,2325.0132
47,2417.7112
48,2043.887
49,1806.274
50,1848.0154
51,2537.3718
52,2383.1406
53,1625.7651
54,1875.714
55,3451.4421
56,2993.925
57,3090.6826
58,2221.611
59,2956.7478
60,2365.7476
61,2379.708
62,2969.8826
63,2414.7375
64,2844.375
65,2849.2224
66,2512.1904
67,2553.9895
68,2305.8936
69,2730.7744
70,1537.1274
71,2228.2253
72,2703.5552
73,1989.4788
74,2661.7178
75,2927.5176
76,2047.8154
77,2115.4392
78,3299.2466
79,2676.733
80,2793.8516
81,2443.638
82,3259.5242
83,2308.944
84,2385.5896
85,2329.6426
86,3211.16
87,2285.218
88,2020.0654
89,2372.294
90,2806.7507
91,2424.613
92,2694.7903
93,1935.2616
94,4194.964
95,2432.3723
96,2659.7905
97,2130.5996
98,2641.8267
99,2487.0107
100,2834.9924
101,3159.4211
102,2744.6248
103,3110.7864
104,2268.0137
105,4072.9158
106,1850.1102
107,2145.5957
108,3104.0767
109,2468.5378
110,1490.4733
111,2049.8923
112,3705.3503
113,2227.1191
114,1958.986
115,2002.6023
116,2138.3086
117,2429.0972
118,2454.4229
119,2121.2122
120,3226.9126
121,2558.1482
122,3786.652
123,2702.4382
124,2547.4358
125,2987.3232
126,2432.2527
127,1937.5504
128,2871.9307
129,3086.841
130,4228.1
131,1880.7551
132,3446.104
133,3216.0728
134,2466.7507
135,2004.0961
136,3226.9126
137,2825.416
138,2403.0051
139,2105.3906
140,3074.346
141,3473.485
142,2019.0547
143,2531.6157
144,3212.844
145,2206.1025
146,2703.3923
147,2472.149
148,2689.3137
149,2422.4048
150,3188.823
151,2889.95
152,3294.709
153,3646.38
154,2086.7927
155,3292.924
156,2305.7708
157,2842.8113
158,3299.6226
159,3394.0112
160,2632.2512
161,2311.9463
162,2350.436
163,3174.853
164,2841.7617
165,2107.34
166,3391.0334
167,1885.7987
168,2939.6504
169,2625.443
170,2007.8512
171,2352.1533
172,2380.4077
173,2366.975
174,2304.7842
175,2416.1384
176,3167.046
177,3103.8003
178,2007.6282
179,2201.3271
180,2306.3643
181,3603.074
182,2703.6438
183,2490.676
184,4186.0024
185,2384.1147
186,2199.4153
187,2305.6643
188,2961.8867
189,2188.618
190,3406.3918
191,2180.45
192,2966.558
193,4223.135
194,2536.1646
195,2720.0637
196,3208.6562
197,1868.2999
198,3392.7637
199,2882.6487
200,2677.1943
201,2172.7847
202,2083.1353
203,2219.3691
204,1941.1985
205,2655.7769
206,2733.94
207,2078.2314
208,3801.2651
209,2206.838
210,2484.5818
211,2543.809
212,2536.9412
213,3691.598
214,2138.519
215,2396.691
216,3163.7078
217,2279.5862
218,2124.3066
219,1983.6339
220,2873.4834
221,2065.8237
222,2480.3271
223,2699.894
224,1654.303
225,2379.243
226,2401.859
227,2340.9077
228,3354.4434
229,2703.231
230,2094.3
231,3311.3164
232,3346.044
233,3134.165
234,2423.0713
235,2072.0251
236,2099.3738
237,2975.2856
238,2626.7473
239,2975.5266
240,3032.0686
241,2412.2803
242,2486.9395
243,2539.6785
244,2739.0635
