symbol,year,month,monthly_return,market_index
0799.HK,2021,1,,0.09876742599625041
0799.HK,2021,2,0.1488095238095238,0.04585340211554232
0799.HK,2021,3,-0.13471502590673579,0.01700029021145369
0799.HK,2021,4,0.31137724550898216,0.03782302486828027
0799.HK,2021,5,-0.12328767123287679,-0.033434336099747275
0799.HK,2021,6,-0.10937499999999999,-0.004026761213798243
0799.HK,2021,7,-0.14035087719298242,-0.03046802006744616
0799.HK,2021,8,-0.15532879818594106,0.0057618538127902985
0799.HK,2021,9,-0.016107382550335586,0.015445379940335032
0799.HK,2021,10,-0.01227830832196451,0.029084296608942007
0799.HK,2021,11,0.02071823204419882,-0.062430806902308573
0799.HK,2021,12,-0.06224627875507442,-0.019526913877831963
0799.HK,2022,1,-0.30014430014430016,-0.05490953417447081
0799.HK,2022,2,-0.037113402061855615,0.002477971955938063
0799.HK,2022,3,-0.1991434689507494,0.10747826707852819
0799.HK,2022,4,-0.12566844919786102,-0.034263094657184516
0799.HK,2022,5,-0.03363914373088681,-0.04764053087087148
0799.HK,2022,6,0.07594936708860751,-0.036177007014385046
0799.HK,2022,7,-0.07352941176470588,0.021870798626214563
0799.HK,2022,8,0.07619047619047627,0.01291552123399961
0799.HK,2022,9,-0.28613569321533927,-0.06799997615624291
0799.HK,2022,10,-0.1570247933884297,-0.031081348555469745
0799.HK,2022,11,0.32843137254901955,0.05272418156620458
0799.HK,2022,12,0.07011070110701105,-0.036348710752189636
0799.HK,2023,1,0.013793103448275874,0.35257719336125903
0799.HK,2023,2,-0.023809523809523756,-0.048895843908380636
0799.HK,2023,3,0.07317073170731705,-0.007216349938952379
0799.HK,2023,4,1.1006493506493504,0.03398853396497515
0799.HK,2023,5,-0.36785162287480677,-0.06160968620156909
0799.HK,2023,6,-0.05134474327628361,0.004222473645935783
0799.HK,2023,7,0.01546391752577321,0.0066097958812061375
1792.HK,2021,1,,0.09876742599625041
1792.HK,2021,2,0.06756756756756763,0.04585340211554232
1792.HK,2021,3,-0.21518987341772153,0.01700029021145369
1792.HK,2021,4,0.08064516129032265,0.03782302486828027
1792.HK,2021,5,-0.1044776119402986,-0.033434336099747275
1792.HK,2021,6,-0.1666666666666666,-0.004026761213798243
1792.HK,2021,7,-0.24000000000000007,-0.03046802006744616
1792.HK,2021,8,0.18421052631578946,0.0057618538127902985
1792.HK,2021,9,1.866666666666667,0.015445379940335032
1792.HK,2021,10,-0.1007751937984496,0.029084296608942007
